Grade,Customer,Part_aplication,Qty-Product,Injection(Ton),Resin_plastic,Texture-Product,Cavity.Material,Core.Material,Slide-System,Lift-Core-System,Mold-Design.Type,HOT-RUNNER,Mold/Base_Order-Company,Weight(KG),Price-Rp,Status
4,EDC,MotorCycle,2,850 ,PP,YES,P20,S55C,YES,YES,2P H/R,YUDO,BUMHAN(KOREA),7085,1496600000,Mahal
3,EDC,MotorCycle,2,850 ,PP,YES,P20,S55C,YES,YES,2P H/R,YUDO,BUMHAN(KOREA),5567,1166200000,Mahal
3,MINDA,MotorCycle,4,100 ,PA6,NO,SKD61,SKD61,YES,NO,2P SIDE GATE,NOTYET,GAYA,130,222600000,Murah
3,MINDA,MotorCycle,4,100 ,PA6,NO,SKD61,SKD61,YES,NO,2P SUBMARINE,NOTYET,GAYA,130,222600000,Murah
2,EPSON,Printer,2,80 ,HIPS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,GAYA,194,131600000,Murah
2,EPSON,Printer,1,120 ,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,BUMHAN(KOREA),308,218400000,Mahal
2,EPSON,Printer,1,120 ,ABS,NO,NAK80,HP4M,YES,NO,3P PIN GATE,NOTYET,BUMHAN(KOREA),314,292600000,Mahal
3,TOA,Speaker,1,300 ,ABS,NO,NAK80,NAK80,NO,NO,3P PIN GATE,NOTYET,GAYA,1120,435400000,Mahal
3,MINDA,MotorCycle,8,90 ,POM ,NO,SKD61,SKD61,NO,NO,2P SUBMARINE,NOTYET,GAYA,434,261800000,Murah
3,EPSON,Printer,1,80 ,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,GAYA,142,112000000,Murah
3,EPSON,Printer,1,80 ,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,GAYA,118,112000000,Murah
2,EPSON,Printer,1,30 ,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,GAYA,84,84000000,Mahal
3,AUTOPLASTIK,Car,2,160 ,ABS-ASA,NO,NAK80,HP4M,YES,YES,2P H/R,NOTYET,GAYA,792,319200000,Mahal
3,AUTOPLASTIK,Car,2,160 ,PP HPP-IN2,YES,P20,S55C,YES,YES,2P SUBMARINE,NOTYET,BUMHAN(KOREA),552,331800000,Mahal
3,AUTOPLASTIK,Car,2,160 ,PP HPP-IN2,YES,P20,S55C,YES,YES,2P SUBMARINE,NOTYET,BUMHAN(KOREA),524,320600000,Mahal
3,AUTOPLASTIK,Car,2,80 ,PP HPP-IN2,NO,P20,S55C,YES,YES,2P SUBMARINE,NOTYET,BUMHAN(KOREA),182,208600000,Murah
3,AUTOPLASTIK,Car,1,210 ,PP+GF20,NO,SKD61,SKD61,YES,NO,2P SIDE GATE,NOTYET,GAYA,848,390600000,Mahal
4,THAI SUMMIT,Car,1,450 ,PP-TD25,YES,HP4M,HP4M,YES,YES,2P HR  (Tunnel),YUDO,BUMHAN(KOREA),2889,646800000,Mahal
4,EPSON,Printer,1,550 ,HIPS,NO,NAK80,HP4M,YES,YES,2P SIDE GATE,NOTYET,BUMHAN(KOREA),1198,497000000,Murah
3,EPSON,Printer,1,350 ,HIPS,NO,NAK80,HP4M,YES,NO,2P SIDE GATE,NOTYET,BUMHAN(KOREA),642,345800000,Mahal
4,EPSON,Printer,1,450 ,HIPS,NO,NAK80,HP4M,YES,YES,3P PIN GATE,NOTYET,BUMHAN(KOREA),468,378000000,Mahal
3,EPSON,Printer,1,450 ,ABS,NO,NAK80,HP4M,NO,NO,2P SIDE GATE,NOTYET,BUMHAN(KOREA),734,460600000,Mahal
4,EPSON,Printer,1,650 ,ABS,NO,NAK80,HP4M,YES,YES,3P PIN GATE,NOTYET,BUMHAN(KOREA),2186,826000000,Mahal
3,EPSON,Printer,1,170 ,HIPS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,BUMHAN(KOREA),313,259000000,Mahal
2,EPSON,Printer,2,50 ,PA66,NO,NAK80,NAK80,YES,NO,2P SUBMARINE,NOTYET,SEHYUN,82,180600000,Murah
3,TENMA,Printer,4,120 ,ABS,YES,NAK80,NAK80,NO,NO,2P HR / SUB,YUDO,SEHYUN,955,336000000,Murah
3,EPSON,Printer,1,80 ,POM,NO,SKD61,SKD61,NO,NO,3P PIN GATE,NOTYET,GAYA,424,203000000,Mahal
3,EPSON,Printer,1,80 ,POM,NO,SKD61,SKD61,NO,NO,3P PIN GATE,NOTYET,GAYA,471,190400000,Mahal
3,EPSON,Printer,1,180 ,ABS,NO,NAK80,HP4M,YES,YES,3P PIN GATE,NOTYET,BUMHAN(KOREA),604,413000000,Mahal
3,EPSON,Printer,2,180 ,ABS,NO,NAK80,HP4M,YES,YES,2P SUBMARINE,NOTYET,GAYA,480,327600000,Mahal
3,EPSON,Printer,1,180 ,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,BUMHAN(KOREA),565,389200000,Mahal
3,EPSON,Printer,1,180 ,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,GAYA,322,294000000,Mahal
3,EPSON,Printer,2,50 ,ABS,NO,NAK80,HP4M,NO,NO,3P PIN GATE,NOTYET,GAYA,110,127400000,Murah
3,EPSON,Printer,1,50 ,ABS,NO,NAK80,HP4M,YES,NO,2P SIDE GATE,NOTYET,GAYA,304,246400000,Mahal
3,EPSON,Printer,1,50 ,ABS,NO,NAK80,HP4M,YES,NO,2P SIDE GATE,NOTYET,GAYA,306,246400000,Mahal
2,EPSON,Printer,1,300 ,HIPS,NO,NAK80,HP4M,NO,YES,3P PIN GATE,NOTYET,BUMHAN(KOREA),372,313600000,Murah
2,EPSON,Printer,2,30 ,POM,NO,SKD61,SKD61,NO,NO,2P SIDE GATE,NOTYET,GAYA,45,78400000,Murah
3,YAMAHA,Piano,1,180 ,PS RESIN BLACK 4384K -X4190TB ( WR 84190),YES,NAK80,PX5,YES,NO,2P SIDE GATE,NOTYET,BUMHAN(KOREA),856,259000000,Mahal
2,YAMAHA,Piano,2,180 ,ABS TOYOLAC T700X01 BLACK ( ZK27220 ),YES,NAK80,PX5,NO,NO,2P JUMP GATE,NOTYET,BUMHAN(KOREA),425,182000000,Murah
